id,Country,Date,Measure_L1,Measure_L2,Measure_L3
DEU,Germany,2020-03-16,Social distancing,Indoor and outdoor gathering restriction,Public events
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
DEU,Germany,2020-03-16,Travel restriction,Individual movement restrictions,Movements for non-essential activities forbidden
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Suspend indoor social and leisure activities
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Cultural places and events
DEU,Germany,2020-03-17,Social distancing,Indoor and outdoor gathering restriction,Suspend indoor social and leisure activities
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Closure of close contact services
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
DEU,Germany,2020-03-17,Social distancing,Indoor and outdoor gathering restriction,Mandatory distance between people
DEU,Germany,2020-03-17,Social distancing,Indoor and outdoor gathering restriction,In public and semi-public spaces
DEU,Germany,2020-03-17,Social distancing,Indoor and outdoor gathering restriction,Complete prohibition of gathering
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Closure of short-term accommodation
DEU,Germany,2020-03-17,Social distancing,Special measures for certain establishments,Child and youth welfare institutions
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Measures for elections
DEU,Germany,2020-03-17,Social distancing,Closure of educational institutions,Closure of specific schools/educational programmes
DEU,Germany,2020-03-17,Social distancing,Closure of educational institutions,Closure of specific schools/educational programmes
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Places of worship
DEU,Germany,2020-03-17,Social distancing,Indoor and outdoor gathering restriction,Restriction on private and familial events
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
DEU,Germany,2020-03-20,Social distancing,Measures for special populations,Measure to protect adults in daycare centers
DEU,Germany,2020-03-20,Social distancing,Measures for special populations,Measure to protect adults in daycare centers
DEU,Germany,2020-03-21,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
DEU,Germany,2020-03-23,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
DEU,Germany,2020-04-20,Returning to normal life,Re-opening of educational institutions,Re-opening of universities
DEU,Germany,2020-04-20,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor attractions and touristic sites
DEU,Germany,2020-04-20,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
DEU,Germany,2020-04-20,Returning to normal life,Lift restriction on outdoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-04-27,Returning to normal life,Re-opening of educational institutions,Classes with exams only
DEU,Germany,2020-04-27,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-04-27,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-04-27,Returning to normal life,Re-opening of educational institutions,Re-opening of kindergartens
DEU,Germany,2020-05-01,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of places of worship
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Re-opening of secondary schools
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Re-opening of primary schools
DEU,Germany,2020-05-07,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
DEU,Germany,2020-05-07,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor attractions and touristic sites
DEU,Germany,2020-05-09,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of restaurants/bars/cafes
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
DEU,Germany,2020-05-15,Returning to normal life,Lift measures to protect vulnerable populations,Resume visits in establishments hosting vulnerable populations
DEU,Germany,2020-05-18,Returning to normal life,Lift measures to protect vulnerable populations,Re-opening of establishments hosting vulnerable populations
DEU,Germany,2020-05-18,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-05-18,Returning to normal life,Lift restriction on indoor gatherings,Organized events
DEU,Germany,2020-05-18,Returning to normal life,Lift restriction on outdoor gatherings,Organized events
DEU,Germany,2020-05-18,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of short-term accommodations and hotels
DEU,Germany,2020-05-25,Returning to normal life,Access to non-essential/critical healthcare services,Re-opening of rehabilitation centers
DEU,Germany,2020-05-25,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
DEU,Germany,2020-05-25,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
DEU,Germany,2020-05-25,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of restaurants/bars/cafes
DEU,Germany,2020-05-25,Returning to normal life,Lift border restrictions,Authorize free movement of persons
DEU,Germany,2020-05-25,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of indoor sport facilities
DEU,Germany,2020-05-25,Returning to normal life,Re-opening of educational institutions,Re-opening of kindergartens
DEU,Germany,2020-05-25,Returning to normal life,Re-opening of educational institutions,Re-opening of primary schools
DEU,Germany,2020-06-08,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of indoor sport facilities
DEU,Germany,2020-06-15,Returning to normal life,Lift measures to protect vulnerable populations,Resume visits in establishments hosting vulnerable populations
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of short-term accommodations and hotels
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of indoor sport facilities
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on sport events
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Resume indoor hobbies and leisure activities
DEU,Germany,2020-06-15,Returning to normal life,Lift border restrictions,Authorize free movement of persons
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of restaurants/bars/cafes
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-08-03,Returning to normal life,Re-opening of educational institutions,Re-opening of primary and secondary schools
DEU,Germany,2020-08-05,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-09-04,Returning to normal life,Lift travel restriction,Re-opening of outdoor attractions and touristic sites
DEU,Germany,2020-10-11,Returning to normal life,Exemption of quarantine,Lift mandatory quarantine for some specific reasons not related to work
DEU,Germany,2020-10-21,Returning to normal life,Exemption of quarantine,Lift mandatory quarantine for some specific reasons not related to work
DEU,Germany,2020-10-24,Returning to normal life,Exemption of quarantine,Lift mandatory quarantine for certain workers
DEU,Germany,2020-03-16,Travel restriction,Cordon sanitaire,More than one region
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of kindergartens
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
DEU,Germany,2020-03-16,Social distancing,Indoor and outdoor gathering restriction,Restriction on private and familial events
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
DEU,Germany,2020-04-04,Contact tracing,Enhance detection system,Targeted testing
DEU,Germany,2020-04-04,Contact tracing,Isolation of cases,Must be implemented in long-term care facilities
DEU,Germany,2020-04-10,Contact tracing,Quarantine,Incoming travellers
DEU,Germany,2020-04-20,Returning to normal life,Re-opening of educational institutions,Re-opening of secondary schools
DEU,Germany,2020-04-20,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-04-20,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-04-23,Returning to normal life,Re-opening of educational institutions,Classes with exams only
DEU,Germany,2020-04-23,Returning to normal life,Re-opening educational institutions,Re-opening of primary schools and child care
DEU,Germany,2020-04-27,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-04-27,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-04-27,Returning to normal life,Re-opening of educational institutions,Re-opening of primary schools and child care
DEU,Germany,2020-05-01,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of places of worship
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor attractions and touristic sites
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Re-opening of specific schools/educational programmes
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Re-opening of specific schools/educational programmes
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Re-opening of specific schools/educational programmes
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Re-opening of specific schools/educational programmes
DEU,Germany,2020-05-04,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-05-07,Returning to normal life,Lift restriction on outdoor gatherings,Resume outdoor sports and activities
DEU,Germany,2020-05-09,Returning to normal life,Lift measures to protect vulnerable populations,Resume visits in establishments hosting vulnerable populations
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor and outdoor gatherings,In public and semi-public spaces
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of indoor sport facilities
DEU,Germany,2020-05-11,Returning to normal life,Lift measures to protect vulnerable populations,Resume visits in establishments hosting vulnerable populations
DEU,Germany,2020-05-11,Returning to normal life,Re-opening of educational institutions,Re-opening of primary and secondary schools
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of restaurants/bars/cafes
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of short-term accommodations and hotels
DEU,Germany,2020-05-11,Returning to normal life,Lift restrictions on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Organized events
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Cultural places and events
DEU,Germany,2020-05-14,Returning to normal life,Re-opening of educational institutions,Re-opening of kindergartens
DEU,Germany,2020-05-18,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of short-term accommodations and hotels
DEU,Germany,2020-05-20,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
DEU,Germany,2020-05-20,Returning to normal life,Lift measures to protect vulnerable populations,Resume visits in establishments hosting vulnerable populations
DEU,Germany,2020-05-28,Returning to normal life,Re-opening of educational institutions,Re-opening of kindergartens
DEU,Germany,2020-05-30,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
DEU,Germany,2020-05-30,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-05-30,Returning to normal life,Lift restriction on outdoor gatherings,Resume outdoor sports and activities
DEU,Germany,2020-05-30,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of indoor sport facilities
DEU,Germany,2020-06-08,Returning to normal life,Re-opening of educational institutions,Re-opening of kindergartens
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Organized events
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Organized events
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-06-15,Returning to normal life,Lift restrictions on indoor and outdoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of public outdoor leisure facilities
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Re-opening of markets
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Resume indoor hobbies and leisure activities
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Resume indoor hobbies and leisure activities
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of indoor sport facilities
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Resume indoor sport activities
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on outdoor gatherings,Resume outdoor sports and activities
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor gatherings,Lift ban on sport events
DEU,Germany,2020-08-12,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-09-01,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-09-16,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on sport events
DEU,Germany,2020-03-05,Resource allocation,Measures to ensure security of supply,Traffic enactments
DEU,Germany,2020-03-10,Social distancing,Indoor and outdoor gathering restriction,Organized events
DEU,Germany,2020-03-13,Public Healthcare,Adapt procedures for patient management,Case management
DEU,Germany,2020-03-13,Social distancing,Measures for special populations,Measures to limit contact to hospital patients
DEU,Germany,2020-03-13,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities
DEU,Germany,2020-03-13,Public Healthcare,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of kindergartens
DEU,Germany,2020-03-16,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
DEU,Germany,2020-03-16,Social distancing,Indoor and outdoor gathering restriction,Closure of public places (unspecified)
DEU,Germany,2020-03-16,Social distancing,Indoor gathering restriction,Closure of short-term accommodation
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of universities
DEU,Germany,2020-03-16,Social distancing,Indoor gathering restriction,Cultural places and events
DEU,Germany,2020-03-16,Risk communication,Actively communicate with managers,Promote hygiene measures and social distancing
DEU,Germany,2020-03-16,Social distancing,Indoor and outdoor gathering restriction,Organized events
DEU,Germany,2020-03-16,Resource allocation,Activate or establish emergency response,Risk management plan
DEU,Germany,2020-03-16,Resource allocation,Crisis management plans,"State aid, taxation and social security"
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
DEU,Germany,2020-03-17,Social distancing,Indoor gathering restriction,"Conferences, meetings, trade fairs, etc."
DEU,Germany,2020-03-17,Resource allocation,Crisis management plans,Financial aid for health system
DEU,Germany,2020-03-17,Social distancing,Indoor and outdoor gathering restriction,Sport events
DEU,Germany,2020-03-18,Social distancing,Outdoor gathering restriction,Closure of outdoor sport and leisure facilities
DEU,Germany,2020-03-21,Travel restriction,Public transport restriction,Reduce service
DEU,Germany,2020-03-22,Social distancing,Indoor and outdoor gathering restriction,In public and semi-public spaces
DEU,Germany,2020-03-23,Social distancing,Indoor and outdoor gathering restriction,In public and semi-public spaces
DEU,Germany,2020-03-23,Resource allocation,Police and army interventions,To support law enforcement/sanction in case of no compliance
DEU,Germany,2020-03-24,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of kindergartens
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
DEU,Germany,2020-03-21,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
DEU,Germany,2020-03-23,Social distancing,Indoor and outdoor gathering restriction,Complete prohibition of gathering
DEU,Germany,2020-04-20,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-04-20,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
DEU,Germany,2020-04-20,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-04-20,Returning to normal life,Lift restrictions on outdoor gatherings,Resume outdoor sports and activities
DEU,Germany,2020-04-20,Returning to normal life,Lift restrictions on outdoor gatherings,Re-opening of outdoor attractions and touristic sites
DEU,Germany,2020-04-20,Returning to normal life,Re-opening of educational institutions,Re-opening of specific schools/educational programmes
DEU,Germany,2020-04-27,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-04-27,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-04-27,Returning to normal life,Re-opening of educational institutions,Classes with exams only
DEU,Germany,2020-05-03,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of places of worship
DEU,Germany,2020-05-03,Returning to normal life,Lift restricton on outdoor gatherings,Re-opening of public outdoor leisure facilities
DEU,Germany,2020-05-03,Returning to normal life,Re-opening of educational institutions,Re-opening of specific schools/educational programmes
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Re-opening of primary and secondary schools
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
DEU,Germany,2020-05-07,Returning to normal life,Lift measures to protect vulnerable populations,Resume visits in establishments hosting vulnerable populations
DEU,Germany,2020-05-11,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
DEU,Germany,2020-05-13,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of restaurants/bars/cafes
DEU,Germany,2020-05-13,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-05-13,Returning to normal life,Lift travel restriction,Lift maritime restriction
DEU,Germany,2020-05-13,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
DEU,Germany,2020-05-13,Returning to normal life,Re-opening of educational institutions,Re-opening of specific schools/educational programmes
DEU,Germany,2020-05-18,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of short-term accommodations and hotels
DEU,Germany,2020-05-25,Returning to normal life,Re-opening of educational institutions,Re-opening of primary and secondary schools
DEU,Germany,2020-06-08,Returning to normal life,Re-opening of educational institutions,Re-opening of primary and secondary schools
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor attractions and touristic sites
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-06-10,Returning to normal life,Lift personal protective measures,Lift obligation to wear a mask
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of indoor sport facilities
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on indoor gatherings,Resume indoor hobbies and leisure activities
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on indoor gatherings,Organized events
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Organized events and private meetings without seat allocation
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of restaurants/bars/cafes
DEU,Germany,2020-06-10,Returning to normal life,Lift restriction on indoor gatherings,Resume indoor hobbies and leisure activities
DEU,Germany,2020-06-26,Contact tracing,Quarantine,Incomings from high-risk areas
DEU,Germany,2020-08-17,Returning to normal life,Re-opening of educational institutions,Re-opening of primary and secondary schools
DEU,Germany,2020-09-16,Returning to normal life,Lift restriction on indoor gatherings,Organized events
DEU,Germany,2020-09-16,Returning to normal life,Lift restricton on outdoor gatherings,Organized events
DEU,Germany,2020-09-16,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-10-26,Social distancing,Indoor gathering restriction,Restriction on private and familial events
DEU,Germany,2020-11-02,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-03-11,Social distancing,Indoor and outdoor gathering restriction,Organized events
DEU,Germany,2020-03-14,Social distancing,Measures for special populations,Measures to limit contact to hospital patients
DEU,Germany,2020-03-14,Social distancing,Measures for special populations,Measures to limit contact to hospital patients
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of kindergartens
DEU,Germany,2020-03-16,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
DEU,Germany,2020-03-18,Social distancing,Indoor and outdoor gathering restriction,In public and semi-public spaces
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Cultural places and events
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,"Conferences, meetings, trade fairs, etc."
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Suspend indoor social and leisure activities
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Cultural places and events
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Suspend indoor social and leisure activities
DEU,Germany,2020-03-18,Social distancing,Outdoor gathering restriction,Closure of outdoor sport and leisure facilities
DEU,Germany,2020-03-18,Social distancing,Closure of educational institutions,Closure of specific schools/educational programmes
DEU,Germany,2020-03-18,Social distancing,Closure of educational institutions,Closure of specific schools/educational programmes
DEU,Germany,2020-03-18,Travel restriction,Individual movement restrictions,Movements for non-essential activities forbidden
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Places of worship
DEU,Germany,2020-03-18,Social distancing,Special measures for certain establishments,Restaurants
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
DEU,Germany,2020-03-18,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
DEU,Germany,2020-03-18,Social distancing,Measures for special populations,Measure to protect adults in daycare centers
DEU,Germany,2020-03-18,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities
DEU,Germany,2020-03-18,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities
DEU,Germany,2020-03-18,Social distancing,Closure of educational institutions,Closure of universities
DEU,Germany,2020-03-21,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
DEU,Germany,2020-03-21,Travel restriction,Individual movement restrictions,Movements for non-essential activities forbidden
DEU,Germany,2020-03-21,Social distancing,Indoor and outdoor gathering restriction,Mandatory distance between people
DEU,Germany,2020-03-25,Social distancing,Indoor gathering restriction,Closure of short-term accommodation
DEU,Germany,2020-03-25,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
DEU,Germany,2020-04-27,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-04-27,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-04-27,Returning to normal life,Lift restriction on outdoor gatherings,Organized events
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on individual movements,Allow movements for non-essential activities
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor and outdoor gatherings,In public and semi-public spaces
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
DEU,Germany,2020-05-04,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Re-opening of places of worship
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Re-opening of universities
DEU,Germany,2020-05-04,Returning to normal life,Re-opening of educational institutions,Resume one-to-one courses
DEU,Germany,2020-06-15,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Resume sport activities
DEU,Germany,2020-06-29,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Re-opening of certain shops and businesses
DEU,Germany,2020-06-29,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of restaurants/bars/cafes
DEU,Germany,2020-06-29,Returning to normal life,Lift restriction on outdoor gatherings,Organized events
DEU,Germany,2020-06-29,Returning to normal life,Lift restriction on indoor gatherings,Organized events
DEU,Germany,2020-06-29,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Resume sport activities
DEU,Germany,2020-06-29,Returning to normal life,Lift restriction on indoor gatherings,Resume indoor hobbies and leisure activities
DEU,Germany,2020-06-29,Social distancing,Special measures for certain establishments,Short-term accommodations and hotels
DEU,Germany,2020-06-29,Returning to normal life,Lift measures to protect vulnerable populations,Re-opening of establishments hosting vulnerable populations
DEU,Germany,2020-07-13,Returning to normal life,Lift restriction on outdoor gatherings,Organized events
DEU,Germany,2020-07-13,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Organized events
DEU,Germany,2020-07-13,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Resume sport activities
DEU,Germany,2020-07-13,Returning to normal life,Lift measures to protect vulnerable populations,Resume visits in establishments hosting vulnerable populations
DEU,Germany,2020-07-27,Returning to normal life,Lift restriction on outdoor gatherings,Organized events
DEU,Germany,2020-07-27,Returning to normal life,Lift restriction on indoor gatherings,Organized events
DEU,Germany,2020-07-27,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Resume sport activities
DEU,Germany,2020-08-10,Returning to normal life,Lift restriction on outdoor gatherings,Organized events
DEU,Germany,2020-10-18,Social distancing,Indoor and outdoor gathering restriction,Restriction on private and familial events
DEU,Germany,2020-10-18,Social distancing,Indoor and outdoor gathering restriction,Organized events
DEU,Germany,2020-10-18,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
DEU,Germany,2020-10-18,Resource allocation,Activate or establish emergency response,Emergency laws
DEU,Germany,2020-10-18,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-10-18,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-10-26,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-10-26,Public Healthcare,Personal protective measures,Mandatory use of masks
DEU,Germany,2020-03-12,Social distancing,Indoor and outdoor gathering restriction,Complete prohibition of gathering
DEU,Germany,2020-03-16,Social distancing,Indoor gathering restriction,Cultural places and events
DEU,Germany,2020-03-16,Social distancing,Indoor gathering restriction,Cultural places and events
DEU,Germany,2020-03-18,Social distancing,Closure of educational institutions,Closure of kindergartens
DEU,Germany,2020-03-18,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
DEU,Germany,2020-03-19,Social distancing,Indoor and outdoor gathering restriction,Complete prohibition of gathering
DEU,Germany,2020-03-19,Social distancing,Indoor and outdoor gathering restriction,Restriction on private and familial events
DEU,Germany,2020-03-19,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
DEU,Germany,2020-03-19,Social distancing,Indoor gathering restriction,Suspend indoor social and leisure activities
DEU,Germany,2020-03-19,Social distancing,Indoor and outdoor gathering restriction,"Conferences, meetings, trade fairs, etc."
DEU,Germany,2020-03-19,Social distancing,Indoor gathering restriction,Suspend indoor social and leisure activities
